reviewer,date,original_language,content,hospital,clean_for_sentiment,vader_positive,vader_neutral,vader_negative,vader_compound,vader_sentiment,distilbert_label,distilbert_score
Yassmina Houba (Nina),2025-06,French,"Injured in an accident, I went to the emergency room at this hospital, but they didn't take me seriously. It's true that the tent was there quickly, in less than an hour. But otherwise, I'm very disappointed with both the nurses and the doctor because they didn't examine me properly, and in the end, not even a ""come in today"" or ""get well soon"" message.
None of that!
Very disappointed with their behavior as people who work in the medical field!!!! My first and last time!",UZ Brussel,"injured in an accident, i went to the emergency room at this hospital, but they didn't take me seriously. it's true that the tent was there quickly, in less than an hour. but otherwise, i'm very disappointed with both the nurses and the doctor because they didn't examine me properly, and in the end, not even a ""come in today"" or ""get well soon"" message.
none of that!
very disappointed with their behavior as people who work in the medical field!! my first and last time!",0.08,0.763,0.157,-0.8368,negative,negative,0.9996140599250793
elhouss houss,2025-06,French,"Incompetent hospital, I come with my daughter urgently. I explain that my son is already in the hospital and that they probably have the same thing, they tell me without taking my temperature or anything that it is a simple fever after 4 days of fever without eating in another hospital they tell me that it is an infection so hospitalization thanks to this incompetent and racist hospital",UZ Brussel,"incompetent hospital, i come with my daughter urgently. i explain that my son is already in the hospital and that they probably have the same thing, they tell me without taking my temperature or anything that it is a simple fever after 4 days of fever without eating in another hospital they tell me that it is an infection so hospitalization thanks to this incompetent and racist hospital",0.041,0.827,0.132,-0.7918,negative,negative,0.997771680355072
G Al,2025-06,French,"Hello, I'm leaving a one-star rating, and that still seems like a lot. My father is on his third hospitalization at this hospital, and he still hasn't received any results. No doctor is capable of properly handling my father's case and processing his results; this is outrageous!!!",UZ Brussel,"hello, i'm leaving a one-star rating, and that still seems like a lot. my father is on his third hospitalization at this hospital, and he still hasn't received any results. no doctor is capable of properly handling my father's case and processing his results; this is outrageous!!",0.095,0.798,0.107,-0.1739,neutral,negative,0.9874196648597717
Jamila,2025-06,French,"Bad experience especially in the cardiology department on the 6th floor. I'm not referring to the cardiologists or the doctors, but what shocked me the most were the nurses and their services. No respect, no humanity, and no politeness. It's not all of them, but it's the majority, and it's a shame, and I don't want to go back there one day in my life.",UZ Brussel,"bad experience especially in the cardiology department on the 6th floor. i'm not referring to the cardiologists or the doctors, but what shocked me the most were the nurses and their services. no respect, no humanity, and no politeness. it's not all of them, but it's the majority, and it's a shame, and i don't want to go back there one day in my life.",0.03,0.752,0.218,-0.9258,negative,negative,0.9920777678489685
Abdolmajid Ouali,2025-06,French,They are great 👍👍 …,UZ Brussel,they are great 👍👍 …,0.369,0.631,0.0,0.6249,positive,positive,0.9998279809951782
Ozgur Saint-Chevalier,2025-06,French,"The emergency staff is catastrophic, blah blah between them, dancing, lack of responsiveness and I spend more than 10 hours waiting for results when there are only 5 patients, in short, go get treatment elsewhere!",UZ Brussel,"the emergency staff is catastrophic, blah blah between them, dancing, lack of responsiveness and i spend more than 10 hours waiting for results when there are only 5 patients, in short, go get treatment elsewhere!",0.0,0.728,0.272,-0.8478,negative,negative,0.9996159076690674
Sarah Kuntz,2025-06,French,"Very satisfied with the care of our two and a half year old little boy who was hospitalized for 11 days. When the nurse says the doctor will come, he/she is there within 30 minutes. The doctors are responsive and perform all the necessary tests quickly. The cafeteria is open every day until 7:30 p.m., which allows us to get out of the room a little. The hospital provided us with a free parking ticket per day as an accompanying parent, and there was a playroom with monitors to relieve the parents during the day. The staff is very pleasant and professional. We will definitely return to this hospital if we have any problems. The only downside is that the staff did not notify us when they put my son in ""quarantine,"" so we opened the door to air out the room, and the nurse was not happy. Conversely, they also did not notify us when they lifted the ""quarantine."" We realized this because the nurses started entering the room without masks. This is the only communication area that needs improvement.",UZ Brussel,"very satisfied with the care of our two and a half year old little boy who was hospitalized for 11 days. when the nurse says the doctor will come, he/she is there within 30 minutes. the doctors are responsive and perform all the necessary tests quickly. the cafeteria is open every day until 7:30 p.m., which allows us to get out of the room a little. the hospital provided us with a free parking ticket per day as an accompanying parent, and there was a playroom with monitors to relieve the parents during the day. the staff is very pleasant and professional. we will definitely return to this hospital if we have any problems. the only downside is that the staff did not notify us when they put my son in ""quarantine,"" so we opened the door to air out the room, and the nurse was not happy. conversely, they also did not notify us when they lifted the ""quarantine."" we realized this because the nurses started entering the room without masks. this is the only communication area that needs improvement.",0.118,0.843,0.038,0.945,positive,positive,0.9953725934028625
Rita Maes,2025-06,Dutch,"Renovated entrance for consultation ok.
But what a misery to drop someone off there by car. Kiss and ride is useless, Big 👎 to whoever signed or approved this …",UZ Brussel,"renovated entrance for consultation ok.
but what a misery to drop someone off there by car. kiss and ride is useless, big 👎 to whoever signed or approved this …",0.165,0.58,0.254,-0.6124,negative,negative,0.9997381567955017
Divine Nkasia,2025-06,French,"[EN] Bad experience at the UZ Brussels Emergency Room

On May 27th, around noon, I went to the UZ Brussels Emergency Room due to very intense intestinal pain, to the point where I could barely walk. The situation was extremely difficult, both physically and emotionally.

After the administrative formalities, I was treated by a young man who showed no professionalism. I, as the patient, had to ""guide"" him, which was completely unacceptable. He then disappeared without explanation, leaving me alone for 50 minutes in an examination room, without any communication or follow-up.

I could hear the emergency room doctors talking in the hallway while I stood there, helpless. I finally spoke to them myself to let them know I had been there for an hour. It was only then that an emergency room doctor came in and concluded, without any real examination, that I ""wasn't sick."" No blood test was performed, even though this is a fundamental basic examination in this type of situation. I wasted nearly four hours for nothing.

I finally went to another hospital, Brugmann Hospital, where I immediately had a blood test, a urine test, and an X-ray. It turned out that my intestines were obstructed and my blood showed a clearly elevated inflammatory level. UZ Brussels completely abandoned me. They didn't even provide basic medical care; a simple blood test, which is essential in emergencies, wasn't even performed.

Poor communication, a lack of professionalism, and a passive attitude seem to be the norm there. An emergency department like the one at UZ Brussels should be ashamed of providing such deplorable care. No concrete action has been taken. I was literally told that ""if we had to take a blood test from everyone, it wouldn't be feasible"" and that I ""didn't look sick."" Who are you to judge a person's health based solely on their appearance? If I come to the emergency room, it's for a serious reason.

The staff, or rather the students who circulate there, seemed extremely incompetent to me. I will never set foot in your chaotic emergency department again. Urgently reconsider your priorities.",UZ Brussel,"[en] bad experience at the uz brussels emergency room

on may 27th, around noon, i went to the uz brussels emergency room due to very intense intestinal pain, to the point where i could barely walk. the situation was extremely difficult, both physically and emotionally.

after the administrative formalities, i was treated by a young man who showed no professionalism. i, as the patient, had to ""guide"" him, which was completely unacceptable. he then disappeared without explanation, leaving me alone for 50 minutes in an examination room, without any communication or follow-up.

i could hear the emergency room doctors talking in the hallway while i stood there, helpless. i finally spoke to them myself to let them know i had been there for an hour. it was only then that an emergency room doctor came in and concluded, without any real examination, that i ""wasn't sick."" no blood test was performed, even though this is a fundamental basic examination in this type of situation. i wasted nearly four hours for nothing.

i finally went to another hospital, brugmann hospital, where i immediately had a blood test, a urine test, and an x-ray. it turned out that my intestines were obstructed and my blood showed a clearly elevated inflammatory level. uz brussels completely abandoned me. they didn't even provide basic medical care; a simple blood test, which is essential in emergencies, wasn't even performed.

poor communication, a lack of professionalism, and a passive attitude seem to be the norm there. an emergency department like the one at uz brussels should be ashamed of providing such deplorable care. no concrete action has been taken. i was literally told that ""if we had to take a blood test from everyone, it wouldn't be feasible"" and that i ""didn't look sick."" who are you to judge a person's health based solely on their appearance? if i come to the emergency room, it's for a serious reason.

the staff, or rather the students who circulate there, seemed extremely incompetent to me. i will never set foot in your chaotic emergency department again. urgently reconsider your priorities.",0.061,0.785,0.154,-0.9878,negative,negative,0.9994277358055115
Bullet,2025-06,Dutch,"One star is too many. Our 8-year-old son had an appointment for his circumcision at 12:00 noon. Because the procedure is performed under general anesthesia, he was not allowed to eat anything from 7:00 in the morning and drink until 11:30 (with only a little until 10:00, to be safe). He did not go into the operating room for the anesthesia until 17:00. It unnecessarily made our child suffer for five more hours without food and drink, which is unacceptable.

Why make an appointment at 12:00, if he has to wait so long? We were finally allowed to go home around 22:00, without a pediatrician to advise us or a certificate of absence from school. We were not given help to get to the exit and had to climb the stairs with a fresh wound on his genitals — which is downright barbaric.

The nurse advised us to go to the emergency room to get a certificate for school and to get additional information about the treatment. After the hurdles of getting there, we were told that I had to register again for a consultation in the emergency room, which would mean another two hours of waiting. I explained that we had been in the hospital since 11:30, that my son still had a wound and that the staff was not doing anything about it. They laughed at us and refused to call a pediatrician for us alone.

Exhausted, irritated and with my son just out of anesthesia, we left for home without any help. This was especially frustrating because our vehicle was at the pediatric ward, where we had to register. On the street, on foot, because all other exits were closed after 22:00, we had to walk to our vehicle with a bloody wound in the genitals — an absurd situation.

You would expect a university hospital to function at a professional level, especially in terms of organization. Instead, blunder after blunder is made. This is not the first time I have had such experiences, but because my son has been so badly affected, I feel compelled to share my story.

If you think another hospital is better, chances are you will be more satisfied there.",UZ Brussel,"one star is too many. our 8-year-old son had an appointment for his circumcision at 12:00 noon. because the procedure is performed under general anesthesia, he was not allowed to eat anything from 7:00 in the morning and drink until 11:30 (with only a little until 10:00, to be safe). he did not go into the operating room for the anesthesia until 17:00. it unnecessarily made our child suffer for five more hours without food and drink, which is unacceptable.

why make an appointment at 12:00, if he has to wait so long? we were finally allowed to go home around 22:00, without a pediatrician to advise us or a certificate of absence from school. we were not given help to get to the exit and had to climb the stairs with a fresh wound on his genitals — which is downright barbaric.

the nurse advised us to go to the emergency room to get a certificate for school and to get additional information about the treatment. after the hurdles of getting there, we were told that i had to register again for a consultation in the emergency room, which would mean another two hours of waiting. i explained that we had been in the hospital since 11:30, that my son still had a wound and that the staff was not doing anything about it. they laughed at us and refused to call a pediatrician for us alone.

exhausted, irritated and with my son just out of anesthesia, we left for home without any help. this was especially frustrating because our vehicle was at the pediatric ward, where we had to register. on the street, on foot, because all other exits were closed after 22:00, we had to walk to our vehicle with a bloody wound in the genitals — an absurd situation.

you would expect a university hospital to function at a professional level, especially in terms of organization. instead, blunder after blunder is made. this is not the first time i have had such experiences, but because my son has been so badly affected, i feel compelled to share my story.

if you think another hospital is better, chances are you will be more satisfied there.",0.05,0.874,0.075,-0.7113,negative,negative,0.9991497993469238
Salim Men,2025-06,French,MRI NEVER DONE ON TIME you will arrive at least 1 hour after the appointment time this is the 4th time you are asked to come 15 minutes early to make you wait more than an hour not cool when you are already in pain shame uz,UZ Brussel,mri never done on time you will arrive at least 1 hour after the appointment time this is the 4th time you are asked to come 15 minutes early to make you wait more than an hour not cool when you are already in pain shame uz,0.0,0.84,0.16,-0.8106,negative,negative,0.9933472871780396
Robert bral,2025-06,Dutch,"UZ Brussel in Jette is the worst hospital there is.
1 star is still too much.
I went for a day admission. The nurse makes you sign a paper that you agree to the operation just before you are taken to the operating room (you are already lying in a hospital bed). Why can't you do that in advance?
You don't get to see or speak to a doctor, not before the operation. And even less so after the operation. Not a word in the operating room either.
You are just a number.
I asked for a light anaesthetic. But the result was that I was anaesthetised for almost 4 hours, for a 40-minute procedure. I probably got an overdose of propofol. It was 6 pm when I woke up. At that moment, of course, there was no more doctor to be seen. The nurse threw me out of the recovery room as quickly as possible. This is totally irresponsible for a patient who has just woken up from anaesthesia. I only heard from the doctor after 3 days and that was after I had filed a complaint with the ombudsman because I felt that my rights as a patient had been violated.
Due to the heavy anesthesia that they gave me without asking, I now have memory loss.
I will never set foot in this hospital again.",UZ Brussel,"uz brussel in jette is the worst hospital there is.
1 star is still too much.
i went for a day admission. the nurse makes you sign a paper that you agree to the operation just before you are taken to the operating room (you are already lying in a hospital bed). why can't you do that in advance?
you don't get to see or speak to a doctor, not before the operation. and even less so after the operation. not a word in the operating room either.
you are just a number.
i asked for a light anaesthetic. but the result was that i was anaesthetised for almost 4 hours, for a 40-minute procedure. i probably got an overdose of propofol. it was 6 pm when i woke up. at that moment, of course, there was no more doctor to be seen. the nurse threw me out of the recovery room as quickly as possible. this is totally irresponsible for a patient who has just woken up from anaesthesia. i only heard from the doctor after 3 days and that was after i had filed a complaint with the ombudsman because i felt that my rights as a patient had been violated.
due to the heavy anesthesia that they gave me without asking, i now have memory loss.
i will never set foot in this hospital again.",0.012,0.902,0.086,-0.9589,negative,negative,0.9996856451034546
Ahmed azzimani,2025-06,Dutch,It was a horrible experience. The wait could be more than 4 hours. There are people who cancel the wait and go. I do not recommend this hospital to anyone.,UZ Brussel,it was a horrible experience. the wait could be more than 4 hours. there are people who cancel the wait and go. i do not recommend this hospital to anyone.,0.0,0.78,0.22,-0.7657,negative,negative,0.9989847540855408
Agnes thijs,2025-06,Dutch,Excellent care after my emergency surgery. Everyone is very helpful and friendly.,UZ Brussel,excellent care after my emergency surgery. everyone is very helpful and friendly.,0.584,0.304,0.113,0.8969,positive,positive,0.9998505115509033
Gregory Beaurain,2025-06,French,"Top-notch maternity service!! Thanks to the midwives and company, but I think the pediatricians were abducted by aliens.",UZ Brussel,"top-notch maternity service!! thanks to the midwives and company, but i think the pediatricians were abducted by aliens.",0.085,0.696,0.219,-0.6229,negative,negative,0.9800317287445068
Daniel Byl,2025-06,Dutch,Had to undergo surgery yesterday at uz jette..Apart from the long wait I am certainly very satisfied. Friendly staff and a very good urologist who operated on me. Doctor klockkaerts Katrien thanks for the good care.,UZ Brussel,had to undergo surgery yesterday at uz jette..apart from the long wait i am certainly very satisfied. friendly staff and a very good urologist who operated on me. doctor klockkaerts katrien thanks for the good care.,0.422,0.578,0.0,0.9646,positive,positive,0.9996626377105713
Eva Cartwright,2025-06,English,"Most efficient and professional hospital I have ever seen around Europe so far. I had a smaller routine surgery here as a day patient and it was - as hospital visits go - the best experience I ever had. Everyone was suoer-helpful, kind and highly professional, all procedures were on time and processing went like clockwork. Thanks to all the UZ staff who took such wonderful care of me.",UZ Brussel,"most efficient and professional hospital i have ever seen around europe so far. i had a smaller routine surgery here as a day patient and it was - as hospital visits go - the best experience i ever had. everyone was suoer-helpful, kind and highly professional, all procedures were on time and processing went like clockwork. thanks to all the uz staff who took such wonderful care of me.",0.271,0.729,0.0,0.9719,positive,positive,0.9997097849845886
parlons de tout,2025-06,French,"I gave birth there twice! Really, future mothers, don't hesitate, it's a very good hospital! They pay attention to every detail, the care on a moral and physical level is immediate! Thank you to all the hospital staff, starting with the cleaning ladies, the property is there and the doctors, a big thank you for your professionalism, the nurses, midwives, you are the best",UZ Brussel,"i gave birth there twice! really, future mothers, don't hesitate, it's a very good hospital! they pay attention to every detail, the care on a moral and physical level is immediate! thank you to all the hospital staff, starting with the cleaning ladies, the property is there and the doctors, a big thank you for your professionalism, the nurses, midwives, you are the best",0.238,0.743,0.018,0.9508,positive,positive,0.9998555183410645
Mamadou Diallo,2025-06,French,"I would like to share my positive experience at Uz Hospital. As soon as I arrived, I was greeted by warm and professional staff. The atmosphere is calming, and the premises are impeccably clean, which is very important in a healthcare establishment.",UZ Brussel,"i would like to share my positive experience at uz hospital. as soon as i arrived, i was greeted by warm and professional staff. the atmosphere is calming, and the premises are impeccably clean, which is very important in a healthcare establishment.",0.368,0.632,0.0,0.9501,positive,positive,0.9997190833091736
Loli Pop,2025-05,French,"What a waste no, but what a waste, I can only note the sad change that reigns now, we left as we came, after our visit to the emergency room in luz brussel, they who were so renowned for the rapid and efficient treatment of the patient, the cleanliness of the premises as well as the caring staff, alas all this is only a distant memory...",UZ Brussel,"what a waste no, but what a waste, i can only note the sad change that reigns now, we left as we came, after our visit to the emergency room in luz brussel, they who were so renowned for the rapid and efficient treatment of the patient, the cleanliness of the premises as well as the caring staff, alas all this is only a distant memory..",0.126,0.687,0.187,-0.631,negative,negative,0.9973357319831848
DJlula NieDlaCb,2025-05,French,Be careful with this hospital's bills. Almost all bills are miscalculated. They enter a room with 1 bed on the bills.  Bills 1000-2000 € too high.,UZ Brussel,be careful with this hospital's bills. almost all bills are miscalculated. they enter a room with 1 bed on the bills. bills 100-200 € too high.,0.06,0.94,0.0,0.1531,positive,negative,0.9970408082008362
Аркадий Унгурян,2025-05,Russian,Terrible....a lot of waiting,UZ Brussel,terrible..a lot of waiting,0.0,1.0,0.0,0.0,neutral,negative,0.9995899796485901
Romane Habran,2025-05,French,"After two visits to the emergency departments of two other hospitals, the UZ emergencies (finally) took care of me!

Huge ear infection (see photos: D1 and D5 - hospital discharge) following a new piercing, and already on antibiotics for 6 days, with no improvement, quite the contrary!

I was directly in contact with an ENT who decided to make an incision to remove the infection which had been stored for days (a good week)! - Medical procedure already requested 3 days earlier in another hospital which refused it to me because supposedly “we never make an incision or puncture in an ear”! -

Unfortunately for me, the infection had already gone down into the blood so I had to be hospitalized. I had the opportunity to see the ENT in question every morning of my hospitalization, with clear follow-up (the doctor knows the situation), without passing through the hands of various ENTs.

The nurses were gentle and attentive, always worried about whether I had everything I needed. The ENT was always very clear in his explanations and medical actions towards me.

The food was good, the shower water hot, the room cleaned daily, the bed made again every morning, etc.

The decision was always made in my presence: the explanation of why I was kept for another day, and on the day of my release, the ENT was very attentive to my desire to leave, and given the improvement in my situation, accepted my release. I found it very appreciable!

Living in the Liège region, UZ is far from home, but if I had to go back there, I would without hesitation.

Little advice: the doctor should also look at the end of the day at the results of the various examinations carried out during the day (blood test, smears, etc.) to put in place the ad hoc solution to the health problem as quickly as possible (e.g. targeted bacteria - appropriate antibiotic requested - first dose by the patient in the evening and not just the next afternoon).",UZ Brussel,"after two visits to the emergency departments of two other hospitals, the uz emergencies (finally) took care of me!

huge ear infection (see photos: d1 and d5 - hospital discharge) following a new piercing, and already on antibiotics for 6 days, with no improvement, quite the contrary!

i was directly in contact with an ent who decided to make an incision to remove the infection which had been stored for days (a good week)! - medical procedure already requested 3 days earlier in another hospital which refused it to me because supposedly “we never make an incision or puncture in an ear”! -

unfortunately for me, the infection had already gone down into the blood so i had to be hospitalized. i had the opportunity to see the ent in question every morning of my hospitalization, with clear follow-up (the doctor knows the situation), without passing through the hands of various ents.

the nurses were gentle and attentive, always worried about whether i had everything i needed. the ent was always very clear in his explanations and medical actions towards me.

the food was good, the shower water hot, the room cleaned daily, the bed made again every morning, etc.

the decision was always made in my presence: the explanation of why i was kept for another day, and on the day of my release, the ent was very attentive to my desire to leave, and given the improvement in my situation, accepted my release. i found it very appreciable!

living in the liège region, uz is far from home, but if i had to go back there, i would without hesitation.

little advice: the doctor should also look at the end of the day at the results of the various examinations carried out during the day (blood test, smears, etc.) to put in place the ad hoc solution to the health problem as quickly as possible (e.g. targeted bacteria - appropriate antibiotic requested - first dose by the patient in the evening and not just the next afternoon).",0.075,0.888,0.036,0.8978,positive,negative,0.9950786828994751
Michel CAPRON,2025-05,English,"I am living in Luxembourg and I have had a life changing accident.  Eventually some neurological tests and complex thoracic surgery could simply not be done in Luxembourg and I have been more than happy to meet skilled specialists in UZ Brussels in order to further explore my options.  Patients must understand that this is a university hospital, hence the care quality is better here than in a standard hispital, at least for the complex procedures.  Kudos & many thanks to Dr Smets and his team !",UZ Brussel,"i am living in luxembourg and i have had a life changing accident. eventually some neurological tests and complex thoracic surgery could simply not be done in luxembourg and i have been more than happy to meet skilled specialists in uz brussels in order to further explore my options. patients must understand that this is a university hospital, hence the care quality is better here than in a standard hispital, at least for the complex procedures. kudos & many thanks to dr smets and his team !",0.165,0.805,0.031,0.9256,positive,positive,0.9897992610931396
A N,2025-05,English,The website is not bilingual. Many pages are only in Dutch. Neither the doctors. This is a problem for a universitary hospital.,UZ Brussel,the website is not bilingual. many pages are only in dutch. neither the doctors. this is a problem for a universitary hospital.,0.0,0.886,0.114,-0.4019,neutral,negative,0.9983035326004028
Forin Florin,2025-05,Romanian,"Great, I gave birth to 2 healthy girls, top staff",UZ Brussel,"great, i gave birth to 2 healthy girls, top staff",0.551,0.449,0.0,0.8225,positive,positive,0.9998593330383301
B Celik,2025-05,French,Easy access for disabled people to the car park and to the establishment.,UZ Brussel,easy access for disabled people to the car park and to the establishment.,0.195,0.805,0.0,0.4404,positive,positive,0.9977109432220459
Kristýna Voršilková,2025-05,English,I was very satisfied with maternity ward and whole team! Thank you for lovely experience!,UZ Brussel,i was very satisfied with maternity ward and whole team! thank you for lovely experience!,0.454,0.546,0.0,0.8743,positive,positive,0.9998555183410645
Liesbeth Declercq,2025-05,Dutch,"1 star is too much... the hospital only wants to make a profit... I have been going for fertility treatment for 5 years now. They invent new things every invoice. They charge things that they are not allowed to charge. The health insurance funds are also working on this, but without results. Now they are inventing new things to charge. They charge everything you can think of. A real shame. Definitely not recommended to go there!",UZ Brussel,"1 star is too much.. the hospital only wants to make a profit.. i have been going for fertility treatment for 5 years now. they invent new things every invoice. they charge things that they are not allowed to charge. the health insurance funds are also working on this, but without results. now they are inventing new things to charge. they charge everything you can think of. a real shame. definitely not recommended to go there!",0.066,0.859,0.076,-0.2095,neutral,negative,0.9990783929824829
