"NBa7we src","d4r55","RfnDt","rsqaWe","wiI7pd","fontBodySmall","fontBodySmall 2","kyuRq","dSlJg","NlVald","dSlJg 2","NlVald 2","Hzvxle","pkWtMe"
"https://lh3.googleusercontent.com/a-/ALV-UjXdKQVYBpwy6x0JCtTQyPBb9VO0bJ2ZmOjdFE9HHXJpT2jQ38Ag=w36-h36-p-rp-mo-ba5-br100","jef beirinckx","Local Guide · 256 reviews · 290 photos","4 weeks ago","","","","","","","","","",""
"https://lh3.googleusercontent.com/a/ACg8ocLil9RM9jIiOio0UxR67guF-4C1H9Ll1UiyPSuzz19ou9xAmg=w36-h36-p-rp-mo-ba5-br100","Barbara Mertens","Local Guide · 71 reviews · 30 photos","a month ago","On July 1, 2024, I had made an appointment for follow-up with Prof. Van den Eede on July 23, 2025. In January 2025, I received a letter stating that the appointment could not go ahead... 7 months beforehand, it was already rescheduled... so you lost a patient in that department.","Translated by Google","・","See original (Dutch)","","","","Share","Like","1"
"https://lh3.googleusercontent.com/a/ACg8ocJVmjlQsCB-0iqMPFCsjvMUhy4gLIfoHYrr4XDy1AMbEMlyzQ=w36-h36-p-rp-mo-br100","Jovan Jovic","4 reviews","a month ago","This hospital is deadly all they want is money and money
People with cancer disease you will never be cancer free but you will experience death they deserve no respect nada 👎 …","Translated by Google","・","See original (Dutch)","","Like","","Share","",""
"https://lh3.googleusercontent.com/a/ACg8ocK55-2qjmHloG9rn2AivmUxerZBp9RpjXf3yMyvwZtj_j-KNw=w36-h36-p-rp-mo-br100","Alen Yrms","2 reviews · 3 photos","a month ago","Doctors in the emergency department are not friendly!! They do not give a reassuring feeling.
Walk around with angry looks and a lot of arrogance.
Those unnecessary looks only make people sicker.
Nurses are very helpful and friendly, nice chats give a feeling of comfort.","Translated by Google","・","See original (Dutch)","","","","Share","Like","1"
"https://lh3.googleusercontent.com/a/ACg8ocKhcKy2aEiSXqNFbWQasRMGf2X6F1dr6IVRYs6kaxQRzxBBpg=w36-h36-p-rp-mo-br100","Paulien De Graef","7 reviews · 2 photos","a month ago","Emergency makes an assessment of how serious the problem is. If you are unlucky, you will be sitting there for hours and they will let everyone else go first. If you then ask how this happened, they say you can leave. Very unfriendly and certainly not a correct way of care.","Translated by Google","・","See original (Dutch)","","","","Share","Like","1"
"https://lh3.googleusercontent.com/a/ACg8ocICiUOrccYKxV__VRmIOzCFX5TeBcQLVynruR512Yp5WQXzCA=w36-h36-p-rp-mo-ba5-br100","Frans Pauwels","Local Guide · 29 reviews","a month ago","","","","","","","","","",""
"https://lh3.googleusercontent.com/a-/ALV-UjWRX6KgqjehaFcpvFP1zWiGhQ2p4qRqisryjdU7I0UHWA2GUOA=w36-h36-p-rp-mo-ba4-br100","Veronique Wouters","Local Guide · 199 reviews · 2 photos","a month ago","Upon arrival you will enter a large spacious entrance hall with many registration points and also staff who can help you. Everything is well indicated and therefore easy to find.","Translated by Google","・","See original (Dutch)","","Like","","Share","",""
"https://lh3.googleusercontent.com/a/ACg8ocLHX7FV1vgvsYAqARsLcLt0EXs4II41O2haNCoUtHHFH4anpw=w36-h36-p-rp-mo-ba3-br100","Gilbert Ombelets","Local Guide · 14 reviews","a month ago","Despite appointment, sometimes quite long waiting times.","Translated by Google","・","See original (Dutch)","","Like","","Share","",""
"https://lh3.googleusercontent.com/a/ACg8ocJOBaAU7vvCB06bLAR1rhmwHCs0o6Dz90B15hBj4EQZ5aQU9FF9=w36-h36-p-rp-mo-ba3-br100","firas jarrah","Local Guide · 27 reviews · 4 photos","a month ago","My experience with this hospital was absolutely disappointing. I had an appointment for an x-ray of my foot on the morning of 22nd May. Upon arrival I went to desk number 10, where a staff member was sitting who clearly had nothing to do. I told her that I had an appointment, but she completely ignored me and told me to register first and wait – as if my appointment did not matter!

I waited for over half an hour for no reason. When my number was finally called, I was again met by the same staff member who was visibly irritated and completely unprofessional in her attitude. I then went to the radiology department, where I was told that I was late! I had to argue to explain that I had arrived on time, and luckily I still had proof of my first registration with me – otherwise I would have missed my appointment due to their poor organisation.

Respect for patients starts at the reception desk, and it is unacceptable that people are treated this way. The organization and attitude of the staff were substandard and unprofessional. This does not belong in a medical institution.","Translated by Google","・","See original (Dutch)","","","","Share","Like","1"
"https://lh3.googleusercontent.com/a-/ALV-UjVbqA6JPdGWGOOGOi9sbBleY3XysQ9X1bsKrvGNAT8wN6Bbl_vd=w36-h36-p-rp-mo-br100","Thomas MEISSER","4 reviews","a month ago","","","","","","","","","",""
"https://lh3.googleusercontent.com/a/ACg8ocIfthETzL0NBjyL-FGozPrvfPffXN0hnUqA_0x-fLmQSvN_Ig=w36-h36-p-rp-mo-ba3-br100","Anthony Vanderhaeghe","Local Guide · 8 reviews","a month ago","","","","","","","","","",""
"https://lh3.googleusercontent.com/a-/ALV-UjXB977NCHChuQ68ovuozuCRf4VdSay0klbjSr7KbHFsfGl1zaOV=w36-h36-p-rp-mo-br100","Cedric Vercalsteren","3 reviews","a month ago","","","","","","","","","",""
"https://lh3.googleusercontent.com/a/ACg8ocLCX6SxmzQzmE7vUdzsNRY2ux6gWcBmzen4CMG6vS7TZ2VZxw=w36-h36-p-rp-mo-ba2-br100","Bram Smeulders","Local Guide · 9 reviews","a month ago","","","","","","","","","",""
"https://lh3.googleusercontent.com/a-/ALV-UjUVSrSox-gW6e90pu_3mleq8HMLiVyzpA-lHh6Z65gWs12keiF4=w36-h36-p-rp-mo-ba3-br100","Danny De Paepe","Local Guide · 2 reviews · 9 photos","a month ago","","","","","","","","","",""
"https://lh3.googleusercontent.com/a-/ALV-UjW2zbPu3gMuvEndPba0FGrYYDA8l0qdiOh80WEr5XhbuLS58KVGKg=w36-h36-p-rp-mo-br100","Jozua Van Langenhove","6 reviews","a month ago","Generally satisfied.","Translated by Google","・","See original (Dutch)","","Like","","Share","",""
"https://lh3.googleusercontent.com/a-/ALV-UjUIRWjO5DHE5ocH-uSrRdCorh2Bb0Y-I6Ix1hGNeLq6IhDKbJiA=w36-h36-p-rp-mo-ba5-br100","Cor Schenkenberg","Local Guide · 325 reviews · 29 photos","2 months ago","Good","Translated by Google","・","See original (Dutch)","","Like","","Share","",""
"https://lh3.googleusercontent.com/a-/ALV-UjVT1yMjhZ3647Uwm2ZVFIzRwA-7SZtMGoOzNDDpPV1mxrJaodOb=w36-h36-p-rp-mo-br100","Yousra Ebn- Eloualid","9 reviews · 9 photos","2 months ago","Genuinely in shock at how friendly the emergency staff is. So accommodating and they take their time to listen to you! Super proud of the people who work in healthcare with a smile! RESPECT❤️","Translated by Google","・","See original (Dutch)","","Like","","Share","",""
"https://lh3.googleusercontent.com/a-/ALV-UjW0OcEi2LWTY1IUuLuMwT2Xp67IcUbh2CHRXYSpGi1kf8NOqygG=w36-h36-p-rp-mo-ba3-br100","hershy frenkel","Local Guide · 37 reviews · 31 photos","2 months ago","Was here for a week after a severe accident (2 years ago)
Hospital is not a comfortable place to be but they made it most comfortable possible, they made sure that I'm happy, even sent with medication when I left, one day I wanted to leave the room for a change of scenery and some fresh air so they brought over a wheelchair from a other wing specially for me that I should be able to go out and have some fresh air
THANK YOU for your hard work","","","","","Like","","Share","",""
"https://lh3.googleusercontent.com/a/ACg8ocKz_iqQALlaNMRmXLuVWb5Fp17GKPt2QZmAgOtleRrUnfFKZA=w36-h36-p-rp-mo-br100","Magda","4 reviews","2 months ago","This hospital sends incorrect invoices, invoices for things for which they are not allowed to charge money. Staff is arrogant. I strongly advise against it.","Translated by Google","・","See original (Dutch)","","Like","","Share","",""
"https://lh3.googleusercontent.com/a/ACg8ocKpQ47jIfr59oALcaPJcx9rLm-tc99D-Ejp41mODvPKQE9CrQ=w36-h36-p-rp-mo-br100","Ildor","1 review","2 months ago","I am a citizen of the Republic of Uzbekistan, I went to this hospital but they did not accept me, I got a temporary residence card of the Polish state, unfortunately it did not work","Translated by Google","・","See original (Uzbek)","","Like","","Share","",""
"https://lh3.googleusercontent.com/a/ACg8ocI8_obBwIOsHluHppI7dhsDS0FeGHvOBzgcBNSJ0zUrRfuNvg=w36-h36-p-rp-mo-br100","jan bruynseels","1 review","2 months ago","Satisfied patient, very good hospital, skilled doctors and friendly nursing, good follow-up of my recovery.","Translated by Google","・","See original (Dutch)","","Like","","Share","",""
"https://lh3.googleusercontent.com/a/ACg8ocLmIoirv7iBBb3MptQAl1D0bs5TnxIsADnwNP7id4FQgKHkYA=w36-h36-p-rp-mo-br100","Marie Buelens","1 review","2 months ago","In general, I have always been satisfied with this hospital, but I still have to get this off my chest.

My mother was previously admitted to the C5 department (gastrointestinal diseases), and the nursing there was anything but professional. Whenever I rang the bell for my mother, students kept coming, which is good in itself, but from the moment there was something that the student could not solve, we often had to wait more than an hour before permanent staff arrived. When I called again after 30 minutes (also because I was leaving), the same student came again to help. When I repeated the question, the student apologized and indicated that she was going to ask again. When I walked outside I saw that the permanent staff was in the refectory and that the students were working in the nursing station.  This has happened several times. It is good to have students, but the intention is not for them to take over all the work. If I was lucky enough to speak to someone from the permanent nursing staff, they were often rude. Another time when I came to visit, there was a care going on in the room across the street. Unfortunately I could see and hear everything unwanted because the door was completely open. In addition, there was a finely built nurse who said quite loudly that she hates obese people because she destroys her back on people who don't want to do anything about their weight. I'm not one of the thinnest myself, so it was anything but nice to hear that, let's just keep quiet about how that patient must have felt. During another visit, my mother told me that the nurses had caused her a lot of pain during wound care. I don't know the exact circumstances, but my mother did indicate that the nurse shouted several times that she should not exaggerate. Then the limit was reached for me and I asked at the nursing station to speak to the head nurse. Unfortunately, the head nurse turned out not to be much different. I was allowed to tell my story at the door of the nursing station in front of everyone, instead of having to take myself aside. Every time I said the charge nurse responded defensively and indicated that her team doesn't do those things. After a while I didn't even feel like saying anything anymore.

I was very happy that my mother could return home. She had lost weight and was covered in bruises. We had home care nurses come to care for her further and luckily this went well.

I can only speak well about the doctors. The doctor in the department has also always been helpful to me. The examinations and consultations went perfectly.

My mother told me this department is closing. I have a suspicion why.","Translated by Google","・","See original (Dutch)","","","","Share","Like","1"
"https://lh3.googleusercontent.com/a-/ALV-UjVJrDHP42yucfd5surIvz55XmMpo3NvdxFm_1lQ6E2u0VfPRVjx=w36-h36-p-rp-mo-ba3-br100","fran gevers","Local Guide · 7 reviews · 38 photos","2 months ago","","","","","","","","","",""
"https://lh3.googleusercontent.com/a/ACg8ocIP9P90oSdQSy5izxQsPoZByvWRt1xeJ4V0R8IT1b3s2qcaFfc=w36-h36-p-rp-mo-ba2-br100","Sans Nom","Local Guide · 15 reviews · 2 photos","2 months ago","The best hospital in the country. The medical staff and employees deserve golden praise. Great 😊 …","Translated by Google","・","See original (Dutch)","","Like","","Share","",""
"https://lh3.googleusercontent.com/a/ACg8ocLunA7mDKjM8U5HGewxPvOi8c83fqhhTGwrc4KmojkUO4rCqA=w36-h36-p-rp-mo-ba2-br100","Michael S","Local Guide · 32 reviews","2 months ago","The reception for dermatology appointments is unfriendly. After an analysis by the allergies department, we were referred to the dermatology department. The lady at the reception for appointments refused this despite us showing her the doctor's bill for an appointment. She informed me that I had to do this online. Sad and not patient friendly at all. She certainly doesn't belong there. Such people damage the reputation of other colleagues who do it with heart and soul.","Translated by Google","・","See original (Dutch)","","Like","","Share","",""
"https://lh3.googleusercontent.com/a/ACg8ocI7UV_z5vLb_hdM3ejgvmtsICNUAwesoTltBqK8Anou8D7-sw=w36-h36-p-rp-mo-br100","Femke","5 reviews · 1 photo","2 months ago","A good hospital with very nice, knowledgeable doctors and nurses. I feel comfortable there!
There is only 1 thing. That man in the restaurant downstairs behind the cash register, he doesn't feel like doing his job and he shows that to everyone. What an unfriendly man. He is extremely annoyed and a friendly hello cannot be avoided. Shame!","Translated by Google","・","See original (Dutch)","","Like","","Share","",""
"https://lh3.googleusercontent.com/a-/ALV-UjWd7I0lDTaAf-xZoYjeUmJek5HR4tXhl6fgMzzZilbtWdeTW7gt=w36-h36-p-rp-mo-br100","Chantal Torfs","4 reviews","3 months ago","Physiology department for an appointment. I didn't get an appointment because I said I also have fibro. But the rest is possible. They have so many good tests for my tendons, muscles and back. Just everything. Have other diseases and conditions. Shame..
...maybe soon after consulting an orthopedist I will get one. ...They can remove that lady from the service. Thinks she's a doctor????..

Forgot...I am disabled with a walker. Health fund. Fod.
Benefit for the seriously needy.
.","Translated by Google","・","See original (Dutch)","","","","Share","Like","1"
"https://lh3.googleusercontent.com/a/ACg8ocK6pv46JvoXrdGEJUpejP1LBRHowsTVLnI0NTwRjSY_8sMMGg=w36-h36-p-rp-mo-br100","Edwige","2 reviews · 1 photo","3 months ago","A very friendly prof. Doctors and nursing staff. For me it is worth not 5 but 6 stars. You are treated like a human being. Kudos to all of you. Staff members are also registering. TOP.","Translated by Google","・","See original (Dutch)","","Like","","Share","",""
"https://lh3.googleusercontent.com/a/ACg8ocK32PHNy4TO11BxJRhRChDuPDdjOHdDONtZrsGqzAQxGIxF=w36-h36-p-rp-mo-br100","Momo","4 reviews","3 months ago","At the start of a leg operation (under loco-regional anesthesia), the surgeon went straight to the wrong leg! Normally he would have noticed at one point that the leg was not marked or disinfected, but it still did not instill much confidence...

During the operation, six leg muscle samples were eventually taken, covering at least 10 cm of leg muscle and taking considerable time, whereas I had only been informed of the extraction of one or two muscle samples. As the muscle could not be anesthesised, this caused quite some discomfort.

After the operation, I had to wait for the results of the biopsy until 16.00. During all this time, I received one small bottle of water, a small pack of orange juice and a small industrial Madeleine cookie. No coffee or tea was offered, no breakfast or lunch, whereas I had not been allowed to eat or drink anything since midnight the previous day. As I could not walk, I was not able to get anything from the cafetaria. It would be good if the hospital would at least inform the patients of this Spartan regime before the operation, for instance during the prep-operative call the previous day.

I also wonder why a hospital would offer such unhealthy fare to its patients. Hospitals could contribute to healthier eating habits by setting the right example.

On the positive side, the nurses were friendly and professional, although when I had to urinate in a bed pan, I was not offered any wet (or dry) towels to clean myself afterwards.

All in all, the experience was less reassuring than at UZ Leuven, where one can sense a much more positive and welcoming atmosphere, also amongst the team members of the various teams. Clearly a better-managed hospital!","","","","","","","Share","Like","4"
"https://lh3.googleusercontent.com/a-/ALV-UjVxJ-tuGWdSOTSwICApVZYEwIZyADkyXsb36LrBhdoNRIBqnmggGQ=w36-h36-p-rp-mo-ba4-br100","Koen en Sandy Horemans - Dupont","Local Guide · 29 reviews · 22 photos","3 months ago","","","","","","","","","",""
"https://lh3.googleusercontent.com/a/ACg8ocL4dVm1GNwdelRaxE0EX8sTJS7zBG_8adz9VlSoGQDhwCjwsA=w36-h36-p-rp-mo-ba4-br100","Vicky Lodewijks","Local Guide · 34 reviews · 2 photos","3 months ago","Quick and friendly help","Translated by Google","・","See original (Dutch)","","Like","","Share","",""
"https://lh3.googleusercontent.com/a-/ALV-UjX3IQubaIOu_6Nfnr51joBliMHHbjF8632M_OZKzkz7BgOitp8=w36-h36-p-rp-mo-br100","Kevin Simmons","","3 months ago","","","","","","","","","",""
"https://lh3.googleusercontent.com/a/ACg8ocKIf916Y5v9VsubqQZ-n9Urxl4shSenHyLzsgsCjnBJN8GCdg=w36-h36-p-rp-mo-ba3-br100","Veerle Diels","Local Guide · 51 reviews · 40 photos","3 months ago","I was there for 6 weeks. The doctors really did everything they could and so did the nurses. For rehabilitation, there is a very large room where you can visit physiotherapists and occupational therapists and there are super modern equipment to work with. Only the food could be a bit better, typical industrial kitchen not my thing.","Translated by Google","・","See original (Dutch)","","Like","","Share","",""
"https://lh3.googleusercontent.com/a/ACg8ocIFrsJrVcg3x7BSvrZSM4U6be9gcSmfrGpvacqqEM6qNfq36g=w36-h36-p-rp-mo-br100","Rebeca Geotina","","4 months ago","","","","","","","","","",""
"https://lh3.googleusercontent.com/a-/ALV-UjXgWxhtsM42VhfFAKjGCTvoqATKnjHhPo3At0C0rmOitbERars=w36-h36-p-rp-mo-ba5-br100","Erik Vanderkwaden","Local Guide · 151 reviews · 53 photos","4 months ago","Fast and friendly reception","Translated by Google","・","See original (Dutch)","","Like","","Share","",""
"https://lh3.googleusercontent.com/a-/ALV-UjU8C3l3aTgJd6vdblXc-pRq_-6mdgmu_NkS_mNl4a2l7Clktkmb=w36-h36-p-rp-mo-ba2-br100","moosje dolezal","Local Guide · 24 reviews","4 months ago","Large hospital with ample parking, friendly reception, extremely professional people and a spacious restaurant","Translated by Google","・","See original (Dutch)","","Like","","Share","",""
"https://lh3.googleusercontent.com/a-/ALV-UjVhn6QOkY-v4GhDzY_E9AhMlDKjUM4P7ECbyTtbUTaP1vuJCrZQaw=w36-h36-p-rp-mo-ba3-br100","Georges Fontenelle","Local Guide · 38 reviews · 7 photos","4 months ago","Dr Bart Hendrickx
Dr Vera Hartman
Prof Dr De Fijter
Els Meersman","","","","","Like","","Share","",""
"https://lh3.googleusercontent.com/a-/ALV-UjUxqhVURlryC4V1NuiYuE2wNTrWu7XolLI-C0pQmX1c_srGhtoriQ=w36-h36-p-rp-mo-ba2-br100","ann vandessel","Local Guide · 15 reviews · 10 photos","4 months ago","","","","","","","","","",""
"https://lh3.googleusercontent.com/a-/ALV-UjVITm-S1YFMv7BpEirhjIq5pc1ApeDI483geO2FA-pYuVwb8b4M=w36-h36-p-rp-mo-br100","Susan Ghaderi","2 reviews","4 months ago","","","","","","","","","",""
"https://lh3.googleusercontent.com/a-/ALV-UjXWfJNzsttNzkcRrHKKb16VTTQiWq9OCTQrQsav_oXXMHkPqod7=w36-h36-p-rp-mo-ba3-br100","Kelly En Davy Van Mele","Local Guide · 32 reviews · 15 photos","4 months ago","Top doctors, nice cafeteria","Translated by Google","・","See original (Dutch)","","Like","","Share","",""
"https://lh3.googleusercontent.com/a-/ALV-UjU1c_CufDFS54kOkeJH0rL3tCxyYLlWoCIjrGN4fSEb5cvK5yOZ=w36-h36-p-rp-mo-ba4-br100","Vince Nys","Local Guide · 102 reviews · 30 photos","4 months ago","Did me a solid","","","","","Like","","Share","",""
"https://lh3.googleusercontent.com/a-/ALV-UjWoeO58Ggtxm9TSpqUCxa6L8h7-8yoRURo1e7rEtDwfGqUMcFo=w36-h36-p-rp-mo-ba4-br100","Kurt Verschueren","Local Guide · 39 reviews","4 months ago","","","","","","","","","",""
"https://lh3.googleusercontent.com/a-/ALV-UjXe_pMHCaIMyHf6jc2fVNugFDYh2iAopeaLOSgdGs7Dld2a4VNf=w36-h36-p-rp-mo-br100","Kim Kim","12 reviews","4 months ago","","","","","","","","","",""
"https://lh3.googleusercontent.com/a-/ALV-UjXv4-Hd_s3bsJNkU1M_QP_P8uwXbI2U7arGCCNGiyT3V8YyzQbl=w36-h36-p-rp-mo-br100","Peter De Herdt","7 reviews","Edited 4 months ago","This is just a factory that has to run, but there are people on that line and not cars and as a patient this does not really feel pleasant/professional. In my opinion, an articulate patient who has comments on the course of events is quickly put in his place instead of listening to his concerns. Not all of us are medically trained.","Translated by Google","・","See original (Dutch)","","","","Share","Like","9"
"https://lh3.googleusercontent.com/a/ACg8ocICcdIw1qmOohw1mcCAH0YExV-VbqMduiYtDfml4qzKwP4DsA=w36-h36-p-rp-mo-ba3-br100","Peter Janssens","Local Guide · 38 reviews · 2 photos","4 months ago","I am currently undergoing treatment for cancer.  Multiple doctors, nursing, imaging.  Still a long way to go, but until today the staff felt like a warm blanket around me. Kind and gentle.  Thank you Peter Janssens.","Translated by Google","・","See original (Dutch)","","Like","","Share","",""
"https://lh3.googleusercontent.com/a-/ALV-UjVhxxm1aSiShL46i5xb86uEgGbKv9Kw8JEHA01hrnkdYhjvHjej=w36-h36-p-rp-mo-br100","Walter Van Ackere","3 reviews","4 months ago","Ok","","","","","Like","","Share","",""
"https://lh3.googleusercontent.com/a/ACg8ocJMyQTTIdul3WTJ2GIJCCnXEcYILWH14mtVzTJCTnq3zxGi4w=w36-h36-p-rp-mo-ba2-br100","Coenen Lucia","Local Guide · 20 reviews","4 months ago","Friendly welcome, both in emergency and other services. Okay, sometimes you have to wait a long time, but in a hospital of this size that is only normal. I had to wait a lot and was therefore able to observe a lot and I was pleasantly surprised to notice how all employees (from emergency, reception, nurses and doctors, to the people in the restaurant) do their non-stop effort to work as efficiently and quickly as possible and yet always remain friendly. We received very adequate help everywhere and were treated with the necessary seriousness and professionalism.
My respect for all people who work in healthcare has only increased during those 3-4 days!
Hopefully I never have to be there again, but if something serious were to happen, I would choose UZA again.","Translated by Google","・","See original (Dutch)","","Like","","Share","",""
"https://lh3.googleusercontent.com/a/ACg8ocLOaynMrNlrYxH9Mcv2hyUvvWeajfinTcNZIrN7Qz1OSiOp7g=w36-h36-p-rp-mo-ba3-br100","Germain Van Poucke","Local Guide · 19 reviews","4 months ago","","","","","","","","","",""
"https://lh3.googleusercontent.com/a/ACg8ocIBTf25STOx-UkFS_O8USt06YlObshNj4wA_0jMuLQ4k340LQ=w36-h36-p-rp-mo-ba5-br100","Johan Gijsen","Local Guide · 236 reviews · 20 photos","4 months ago","","","","","","","","","",""
"https://lh3.googleusercontent.com/a/ACg8ocILmmnIzbY--gKL1BHRkYdipm0JuTJNoEv2DWkKkFAkneB8Ew=w36-h36-p-rp-mo-br100","Ilse Das","","5 months ago","","","","","","","","","",""
"https://lh3.googleusercontent.com/a/ACg8ocL7K7l4V5agGQ5HaxLMKEpwQ1mB5Z3XDPMM5DopKEJz_9suDQ=w36-h36-p-rp-mo-ba3-br100","Dorien Jean","Local Guide · 53 reviews · 38 photos","5 months ago","I was in your hospital. I was in shock, so dirty toilets, only paper to fill at the sink, so much mold
And that for a hospital
I'll come back in a few days and take pictures
I will forward it to the competent hygiene authority.
They should give you a heavy fine","Translated by Google","・","See original (Dutch)","","Like","","Share","",""
"https://lh3.googleusercontent.com/a-/ALV-UjWrcXLYzBnDKd-4JtvnfFIYGUJtQm3VmmEMjGxHrMI8OyHoDOX2=w36-h36-p-rp-mo-ba4-br100","Wcm vdls","Local Guide · 81 reviews · 12 photos","5 months ago","A very good hospital, where we were well supervised for 11 days during a major operation.","Translated by Google","・","See original (Dutch)","","Like","","Share","",""
