"NBa7we src","d4r55","RfnDt","rsqaWe","wiI7pd","fontBodySmall","fontBodySmall 2","kyuRq","dSlJg","dSlJg 2","NlVald 2","Hzvxle","pkWtMe"
"https://lh3.googleusercontent.com/a-/ALV-UjVOYcMsgcHmPWv1GhuGRybni4VL3L7zocH7p_I7UOmWATaNpu6I=w36-h36-p-rp-mo-ba5-br100","Karl Verelst","Local Guide · 512 reviews · 404 photos","Edited 2 months ago","Had a very bad experience with staff in the ENT department on Thursday afternoon, February 20, 2025, more specifically with one of their doctors, J-B Watelet. Subsequently, the ombudsman service also did not provide proper assistance. I am not in the habit of writing negative reviews (feel free to check my profile), but I see no other option than to warn others about this experience. For irregular and unexplained pain in my right ear, I made an appointment online at the ENT department and I was given an appointment with the doctor in question quickly. I was welcomed coldly, with hardly any contact being made and the gentleman mainly looked at his computer screen. Apparently my medical file was being looked at on Cozo all the time and this doctor opened a total of 11 documents (my own GP has never opened so many documents on this platform). He didn't actually listen to my story, but formed a picture based on all these documents. This includes an overview of the medications I took in the past. He asked me what medication I took and I answered honestly that I sometimes took some painkillers or anti-inflammatories. But he did not believe this because of my medication schedule that was open on the screen (which I could not see, it was set up that way). He forgot that there was also an end date for this medication. When he asked what medication I was taking, he did not accept my answer, but assumed that I was still taking all the medication listed. Apparently he could not or did not want to read that these were no longer taken and did not believe me. At this point he became verbally aggressive, his attitude became intimidating and I was basically humiliated. I was no longer believed in my story because of the tests that could not show anything and my medical past. A consultation five years earlier in another hospital was dragged into this whole and used against me. It was suggested (not literally said) by the man who calls himself a doctor that I had other problems. Since I didn't say what medication I was taking (which I did), he claimed I was acting like the medical expert in the room. This situation got completely out of hand. He came across as non-verbally deceptive because of his posture, his wide eyes, the gestures with his arms and his choice of words. I felt completely intimidated and unhelped. I also had the impression that he did not fully understand me, Dutch is clearly not his first language. When I talked about physical problems he clearly understood them as psychological ones. I was then virtually forced out of the practice without any prospects of help or treatment. At the end he literally said that the hospital services could learn from this experience by not taking someone in faster than me. I have no idea what I did to deserve this insult. I brought this entire story to the ombudsman service, but they could not tell me anything other than that they had forwarded the story to the doctor by email, but he did not respond. They went to report my story to the head of department, but here too I received no follow-up. And the ultimate sad thing is that I paid for this appointment. I have paid for this humiliation and still no relief from my pain.","Translated by Google","・","See original (Dutch)","","","Share","Like","1"
"https://lh3.googleusercontent.com/a-/ALV-UjVOzmrvTTh5ZLlhCfEggL_laRxVtLT7KwW6SEkLe-WD3pm27ukjyQ=w36-h36-p-rp-mo-ba4-br100","Mieke De Bruycker","Local Guide · 43 reviews · 11 photos","2 months ago","","","","","","","","",""
"https://lh3.googleusercontent.com/a-/ALV-UjVXu06mVR5KSmDSMC1Xi0LatAqThpcdcpIcdT3bO_TERE5fygk4=w36-h36-p-rp-mo-ba4-br100","Stefanie Vangampelaere","Local Guide · 68 reviews · 44 photos","2 months ago","","","","","","","","",""
"https://lh3.googleusercontent.com/a-/ALV-UjVsMGC-efQ1sjnQMgNY3a_GOnSX7GFk6jcciEwbdZdYZr9Zr9g7ZA=w36-h36-p-rp-mo-ba5-br100","Robin DE SMET","Local Guide · 132 reviews · 501 photos","2 months ago","Not satisfied with the revolving door at entrance 7 of the blue Building. The door regularly stops working, which causes frustration and impatience among visitors. People then try to slip through, which is not only dangerous, but also causes extra chaos at the entrance.

In addition, the interior of the building currently looks rather poor and unfinished. Hopefully this will be addressed in the long term, because the first impression is unfortunately not positive.

Friendly people indeed!","Translated by Google","・","See original (Dutch)","","","Share","Like","1"
"https://lh3.googleusercontent.com/a-/ALV-UjU_65pxoOs4wFHheVb13c5zwS4o_EDxLMqrYCUQvJhjfam4RTZW1A=w36-h36-p-rp-mo-ba2-br100","Javi O","Local Guide · 13 reviews · 11 photos","2 months ago","Patients are being milked here. 90 euros for a 15 minute consultation? Unseen. I'm still in shock.","Translated by Google","・","See original (Dutch)","","","Share","Like","1"
"https://lh3.googleusercontent.com/a/ACg8ocKqyr9xcgfHCycGV0UkoUUvo79Y_ilAcaDAjI2MHaiH6xbJVg=w36-h36-p-rp-mo-br100","Veerle Van Driessche","1 review","2 months ago","Last week I was operated on in the surgical day hospital by Prof Van Zele. The nurses in the operating room and in the day hospital were super friendly, as was the anesthetist. Thank you for the good care.","Translated by Google","・","See original (Dutch)","","","Share","",""
"https://lh3.googleusercontent.com/a/ACg8ocLNHrMrZ58iA6LmshiYZOXXtqwL-d7H-5Y7g395uwL8StTVag=w36-h36-p-rp-mo-ba4-br100","Tom Meul","Local Guide · 103 reviews · 10 photos","2 months ago","Friendly staff and very good care.","Translated by Google","・","See original (Dutch)","","","Share","",""
"https://lh3.googleusercontent.com/a/ACg8ocIJP0WtBHofoQJ_2SEAlgt-wXCar4RBhvwJLDiXa983jOT7tg=w36-h36-p-rp-mo-ba2-br100","Sonia","Local Guide · 23 reviews · 9 photos","Edited 2 months ago","I expressed pain in the head in different parts of the body, healing problems, I made it clear that I am feeling my condition getting worse, that I cannot expose myself to the sun, I have had more than 100 edemas in 6 months in the face with an infinite list of triggers, that I have swelling when in contact with bacteria, that I have a headache as if I had had a persistent car accident and that I am at the end of my strength.... I have a paper from my attending physician who asks that I be taken into emergency care by the immunology department... so they will definitely not take care of me and I will be offered a scheduled appointment with the dermatologist in 2 weeks in the face of my dissatisfaction. I was told you can say thank you, a possibility of treatment in psychiatry for physical complaints, no alternative for pain is offered... I am racialized...Mediterranean syndrome? I don't know but I know that everyone has the right to be upset and psychologically tired after experiencing pain and stress for such a long period of time.","Translated by Google","・","See original (French)","","","Share","",""
"https://lh3.googleusercontent.com/a-/ALV-UjUKzrygpVOksTYdnO0eHIZCtUll4oNgbuOKO9DRSiK_om5cUMk=w36-h36-p-rp-mo-ba3-br100","Daniël Désiré De Raeve","Local Guide · 35 reviews · 14 photos","3 months ago","Everything arranged well","Translated by Google","・","See original (Dutch)","","","Share","",""
"https://lh3.googleusercontent.com/a-/ALV-UjUsL6SrZkY94B1Xht_LtffmSol2w41zy32m2aGet3NVFJIrhABH=w36-h36-p-rp-mo-ba3-br100","steph moens","Local Guide · 25 reviews · 108 photos","3 months ago","","","","","","","","",""
"https://lh3.googleusercontent.com/a-/ALV-UjUaXke4E3zVzbkEP7gSO3_i1CPJNOl8M2Ch7dWhQQPi6nR1CdJZ=w36-h36-p-rp-mo-ba4-br100","Karl Villareal","Local Guide · 112 reviews · 139 photos","3 months ago","It is quite cool to see how the specialist doctor shows an intern how he analyzes you, the patient.","","","","","","Share","",""
"https://lh3.googleusercontent.com/a/ACg8ocIndvU0pbc8YFghBWomlvbZtAT72yK2lsrBADErXzdhfDySzg=w36-h36-p-rp-mo-br100","S DW","4 reviews","3 months ago","Very bad experience with care at the neurology department. Little communication. Partly incompetent staff. After almost 1 week, my mother's medication was still not correctly included in the medication management. It took 5 days for the antidepressants she has been taking for 15 years to be noted. A known dermatological wound was treated, but the suture that was still there was apparently not noticed. No hand soap available in the room. No help with washing the first few days. My mother is hypersensitive and was in isolation for a contagious respiratory disease, but was in a room where the handle was broken, so the door had to be left ajar all the time. This was only resolved after 3 days even though it was during the week. In addition, my mother was taken out of bed at 7am with the message that she had a neighbor and had to wash quickly. This turned out to be a less gifted male patient in a room where there was no dividing curtain and the sink was in the room without a shield. Fortunately, the nurse intervened at this point. Only after 1 week of conversation with the doctor (the treating doctor had already left on leave, so only spoke to a replacement doctor. He was friendly and provided sufficient explanation. When transferred to a regional hospital, it was not communicated that my mother opted for a 1pk. She initially ended up on a 2pk and they did not have room on a 1pk for at least 1 week. In my opinion, a lot of mistakes happened during this admission. Fortunately, there were also positive things: The support provided by the support services (speech therapy, etc.) It went well and my mother really liked the food!","Translated by Google","・","See original (Dutch)","","","Share","Like","1"
"https://lh3.googleusercontent.com/a/ACg8ocIds0GrVSunZS_t61s_bCvbjr13il6iAu4v9xPOW0BbzLS9lw=w36-h36-p-rp-mo-ba5-br100","John Willems","Local Guide · 171 reviews · 47 photos","3 months ago","","","","","","","","",""
"https://lh3.googleusercontent.com/a/ACg8ocKG2XDLaILG6V5WIOHQltsMVC6bSkcJyRIbrBLonM_7BM-O8w=w36-h36-p-rp-mo-br100","Dieter","9 reviews","3 months ago","","","","","","","","",""
"https://lh3.googleusercontent.com/a-/ALV-UjXYPNOqqa2zd4CX7Q1C_d8ki87QVD-4yyFiME4_pu1-WebuxrC6=w36-h36-p-rp-mo-ba4-br100","Walter Duerloo","Local Guide · 87 reviews · 3 photos","3 months ago","The hospital is easily accessible, but the signage leaves a lot to be desired, once you are on the hospital grounds.","Translated by Google","・","See original (Dutch)","","","Share","",""
"https://lh3.googleusercontent.com/a-/ALV-UjUKvYqfFkPj_ow-hjmYGMn6WzMyNjomET6hXqH97VgL5-s5zFwOcA=w36-h36-p-rp-mo-ba3-br100","Sarah Dechaene","Local Guide · 25 reviews · 30 photos","3 months ago","Just no words. No care is provided here.","Translated by Google","・","See original (Dutch)","","","Share","Like","1"
"https://lh3.googleusercontent.com/a-/ALV-UjWRzCurWA_onL9YRM2ZaFCO0ouxDpnLD3HRUPi_CR-UKBkpmdo=w36-h36-p-rp-mo-br100","Danny De Pelseneer","3 reviews · 9 photos","3 months ago","","","","","","","","",""
"https://lh3.googleusercontent.com/a-/ALV-UjUWG5MPiNkypyoFRLHCUgs5aj5Ig3wRvQ20k7xDvJlwvoIbWg=w36-h36-p-rp-mo-ba3-br100","Tony Gago Sampedro","Local Guide · 11 reviews · 2 photos","3 months ago","","","","","","","","",""
"https://lh3.googleusercontent.com/a-/ALV-UjUM1tjeq5j4WnUywoBjn0exVgtjkIf3zfohT0o4bPZmyPqJZ7I=w36-h36-p-rp-mo-ba2-br100","Lauren Standaert","Local Guide · 20 reviews","4 months ago","","","","","","","","",""
"https://lh3.googleusercontent.com/a/ACg8ocIA9EdQs4FPN5IHWoIsjFntuOM-MzGl0yXxAn2e9riCHAA6FA=w36-h36-p-rp-mo-ba2-br100","Maxim Abalacov","Local Guide · 23 reviews · 3 photos","4 months ago","Good service","","","","","","Share","",""
"https://lh3.googleusercontent.com/a-/ALV-UjXWCaHQS1KeZooCSQdXKKHV6p0HgsYomeKhmTVUltLunwfVv5tL=w36-h36-p-rp-mo-ba3-br100","Brochure Shop","Local Guide · 52 reviews · 7 photos","4 months ago","Urgent surgery at 6am is postponed to 12pm without notice. Very bad organization. Also infrastructure and rooms comparable to an old hospital in the Balkans. Maintenance to be regretted.","Translated by Google","・","See original (Dutch)","","","Share","Like","1"
"https://lh3.googleusercontent.com/a/ACg8ocJRILJZE5BQRCVhP_9p5BcT16Rulx2emwWyMWeRShb3fBzR3A=w36-h36-p-rp-mo-ba3-br100","G O","Local Guide · 39 reviews · 6 photos","4 months ago","Unprofessional and unfriendly behavior of care providers.","Translated by Google","・","See original (Dutch)","","","Share","Like","1"
"https://lh3.googleusercontent.com/a-/ALV-UjWg8UWKw2lquc7xqOob6nkcqug10ZcM2K7TamKRsqzuauzbErFA=w36-h36-p-rp-mo-ba4-br100","Roelof Cornelis Arends","Local Guide · 51 reviews · 2 photos","4 months ago","","","","","","","","",""
"https://lh3.googleusercontent.com/a-/ALV-UjVQjDzB9G0X_dW7k1pdf5XzAzBZrG5gm3aAwganUgSatG403Fs=w36-h36-p-rp-mo-br100","Ahindya Essfia","","5 months ago","","","","","","","","",""
"https://lh3.googleusercontent.com/a-/ALV-UjUuANIRyQ_HJn24bXeyKWYCoI1QOtzx9KwVDqAqqXFxsrZ-jc1B=w36-h36-p-rp-mo-ba4-br100","Monique Broudehoux","Local Guide · 10 reviews · 24 photos","5 months ago","","","","","","","","",""
"https://lh3.googleusercontent.com/a-/ALV-UjV4YFZ5dj5J8kJFQUOMJCQE85540o0sNdNjHIG7i8yK2T32edQs=w36-h36-p-rp-mo-ba3-br100","Paul De Lausnay","Local Guide · 9 reviews · 2 photos","5 months ago","","","","","","","","",""
"https://lh3.googleusercontent.com/a-/ALV-UjXzx47emcgJStPWbV_6nPGoe35qFS3jo-Olvq0X4jM6waxGSiVUhQ=w36-h36-p-rp-mo-ba4-br100","Claudia Mendez","Local Guide · 128 reviews · 175 photos","5 months ago","","","","","","","","",""
"https://lh3.googleusercontent.com/a-/ALV-UjWSsnknUC-gOh6wASWBuKHPfCp8iwiEUi7IaO1XlcK1Wz_jKEQ=w36-h36-p-rp-mo-ba2-br100","Ionnah","Local Guide · 27 reviews","5 months ago","A big thank you to Dr. Vantilborgh A.","Translated by Google","・","See original (Dutch)","","","Share","",""
"https://lh3.googleusercontent.com/a-/ALV-UjU23EY3qGHGvi1qN-Uvw6YRmWLmVqn6oAPTDgl75Nl3JksGOe2Q=w36-h36-p-rp-mo-br100","Adam","2 reviews","5 months ago","I was in bed for two months after a stroke, the care was elegant and friendly, the girls were nice even without knowing the language.","Translated by Google","・","See original (Polish)","","","Share","",""
"https://lh3.googleusercontent.com/a-/ALV-UjXDSKXRb0kox4ktVGT3ufOPA2bSKqxYIncvi5p-ZzlcK_stgjI=w36-h36-p-rp-mo-br100","Roze Chest","1 review","Edited 5 months ago","Why does my review keep getting deleted?","Translated by Google","・","See original (Dutch)","","","Share","Like","1"
"https://lh3.googleusercontent.com/a/ACg8ocISuXiXxaCF9ISHxjWNBVygi9LrnOrLFWmBP_OTGXH85RChZQ=w36-h36-p-rp-mo-br100","Veda Kir","1 review","5 months ago","","","","","","","","",""
"https://lh3.googleusercontent.com/a/ACg8ocL0oaHYVwIhV3q1FtgDKPgA0zDlS61il_2xI1uw3tKVvIaM2Q=w36-h36-p-rp-mo-br100","Fleur Albrecht","3 reviews","5 months ago","No words for worthless a number are just try to find something that fits. But it doesn't matter because in a moment their standard text will appear. And then there is someone walking around who has won a prize in rheumatology. But it will depend on the patient surely that a psychologist is needed. Man man man.","Translated by Google","・","See original (Dutch)","","","Share","Like","1"
"https://lh3.googleusercontent.com/a/ACg8ocLwrFi43WkFauZjd7jYDnv1lC-VGBWlFAyF0R71mh80kXL6Uw=w36-h36-p-rp-mo-br100","Aimy Van Herzele","3 reviews","5 months ago","Do not call the billing department, the phone is thrown after you are accused of being rude.
They should play a tape, then you also get the information 'your bill was not put on hold'. You should have responded sooner. After 2 phone calls, email billing, email ombudsman, they charge an extra €20.
1 hour later the care provider calls that they have indeed charged the wrong rate (double price). But you have had the accusation on the phone.
I am curious about my adjusted bill and whether there are also extra costs
Fire such people who are only there to earn money instead of listening to the problem","Translated by Google","・","See original (Dutch)","","","Share","Like","1"
"https://lh3.googleusercontent.com/a-/ALV-UjWCOiL9Y6ki_3Uvvav9dEQ3l344klpK6CxYOIKruLImJJYPMmw=w36-h36-p-rp-mo-br100","Ewan Hooghstoel","2 reviews","5 months ago","My father died last Tuesday from the consequences of esophageal cancer, From the beginning of the treatments we were referred to the UZ Gent for the discussions about the survival expectations after 2 years and afterwards, things went well with him for a while until he relapsed with another type of cancer in the brain. He was admitted to the ASZ of Geraardsbergen because we live not far from there and because he received chemotherapy there. The answer he got was ""we think it is a metastasis of the esophagus"", they could not say what the cause was. Before he was admitted, he first asked how long he had to live before the brain tumors would break out again, the answer we got from the oncologist was ""your life expectancy is until around summer, and with the radiation everything would go better again"". Of course this turned out not to be the case and I personally think that is something that is not possible, as an oncologist you should always be sure of your answer, and that was completely different here at the UZ Gent. Surgeon Hanne Vanomeslaeghe was able to tell us everything honestly and with certainty, so if you want honest answers about cancer, the UZ Gent is the perfect place for you. I think it would have been better if he had been treated there, but that is too late now.","Translated by Google","・","See original (Dutch)","","","Share","",""
"https://lh3.googleusercontent.com/a/ACg8ocLljIU2-TkrbpXZZgvdFFIfgcJvWUf-CYUorx8fckabFuvcwQ=w36-h36-p-rp-mo-ba2-br100","K DK","Local Guide · 5 reviews","Edited 6 months ago","It's strange that they send reminder invoices by email (never received but receipt, not even in spam) but can suddenly send a ""Formal notice of default"" by post!!! 20 euros in damages!! That's how they easily earn money!!!!
And it's certainly not because they don't want to pay, I just didn't receive/see the emails because I paid the invoice by post right away!
It's amazing that this can all happen just like that!","Translated by Google","・","See original (Dutch)","","","Share","Like","1"
"https://lh3.googleusercontent.com/a-/ALV-UjWs3efmDdV7HWm_E0iXohLt-Daj-wAv_dAcHkL1Gco3r_6lC9g9=w36-h36-p-rp-mo-ba4-br100","Ruben Ponnet","Local Guide · 101 reviews · 10 photos","6 months ago","Generally satisfied with the care they offer

But charging people €10+ for parking when they have just said goodbye to family in the hospital is unfriendly to me...","Translated by Google","・","See original (Dutch)","","","Share","Like","2"
"https://lh3.googleusercontent.com/a/ACg8ocJCASDYrtWr49wDTb1lqoPL2XqjGS1OE-UYBHfulxsN_nfIYg=w36-h36-p-rp-mo-ba5-br100","Walter De Geyndt","Local Guide · 332 reviews · 501 photos","Edited 6 months ago","Excellent team of doctors, specialists, nurses, physiotherapists, cleaning team, night shift on the cardiology department. From intensive, midcare to admission, they offer the best of themselves. My deepest thanks to Dr. Philipsen and her team for the successful bridging operation. Thanks to you, I can continue with my life. Happy New Year from Java.","Translated by Google","・","See original (Dutch)","","","Share","",""
"https://lh3.googleusercontent.com/a-/ALV-UjVUPsyokyCvmsuk4XvWg-m7RuvxKGkPXpaChulKGiWV7cGoCXTG=w36-h36-p-rp-mo-ba2-br100","Shauna McNally","Local Guide · 21 reviews · 25 photos","7 months ago","Great Hospital, really hard working people, it's just a real shame how the 'deserve ideology of the neo libs are beginning to ware out the Belgian 'Public Healthcare.

I didn't know that you must pay lots of extras , that could be ok but it really feels a though if your a basic worker citizen these systems always try to remind you of that & it seems they may make it unbearable eventually like Ireland has done.","","","","","","Share","",""
"https://lh3.googleusercontent.com/a-/ALV-UjW0UPvW3TFBJC_0T4H2xls3MMymWMYSJHMwa1Y7DMna4G5h2u81=w36-h36-p-rp-mo-br100","Elisabeth Vermeiren","3 reviews","7 months ago","I was treated very rudely by the billing department regarding an additional invoice. During an initial telephone contact I was treated in a friendly manner and was advised to contact the ombudsman. During a second contact with the simple request for the number of the ombudsman I was treated very rudely and impolitely and ultimately did not receive the number (they only asked me in an arrogant tone why I wanted that number and the lady thought that I was apparently not allowed to have it after my explanation and had problems with the fact that I sounded a bit angry, even though I remained respectful, I was angry of course because an unexpected surcharge of several hundred euros is not a small amount for me and many others, especially since we were assured that the health insurance fund would intervene for anything that would exceed our advance payment). So I received very unclear information regarding the billing and possible costs following an operation (which went without complications), despite the explicit request for clarity in advance. The uzgent likes to charge extra costs and for very high amounts I have the impression (this is not the first time I have experienced that). I also did not get any clarity regarding what exactly is charged in this additional invoice (apart from some vague explanation at the billing department) and now have strong doubts about the operation of this hospital. It is not transparent in any case and hopefully this will be worked on in the future","Translated by Google","・","See original (Dutch)","","","Share","",""
"https://lh3.googleusercontent.com/a/ACg8ocI-BkcjTM4Z_HH51UDF0gzYQKbcoPNChQrd-1wbdocRJXgPwg=w36-h36-p-rp-mo-br100","Nathalie De Roo","2 reviews","7 months ago","I had an appointment at endocrinology for a 2nd opinion. When registering for an appointment I had to add my blood results and list of physical complaints. Eventually after waiting for half a year I had to go from Deerlijk to Ghent. At home I had to arrange a lot in advance (childcare),.....there is someone in training who did not bother to prepare her, did not look at any of my file. And in the end she literally did some administration that was in the previous report without thinking. That way she knew for sure that she would not make any major mistakes. Have I been helped no, have I been referred no, I do not know what else now either. In a word, the patient is not seen as a whole. Horse valves on and blindly staring at blood results. That is the doctors of the future.","Translated by Google","・","See original (Dutch)","","","Share","Like","1"
"https://lh3.googleusercontent.com/a/ACg8ocKgsfBoCYZDnblRMghkJEe1sXfWH25aM-d7mJLmM4Tp6V0TuA=w36-h36-p-rp-mo-ba5-br100","Luc Wauters","Local Guide · 166 reviews","7 months ago","Always friendly staff","Translated by Google","・","See original (Dutch)","","","Share","",""
"https://lh3.googleusercontent.com/a-/ALV-UjV3QnfhNckqlSDBGSAUKTLjdKPmPWxQRU8kA635wkezur5FZkEReQ=w36-h36-p-rp-mo-ba4-br100","Ronny De pauw","Local Guide · 43 reviews · 14 photos","7 months ago","Go there several times, but parking is never there.","Translated by Google","・","See original (Dutch)","","","Share","",""
